IMAGE                                                    TAG                  IMAGE ID            SIZE
docker.io/crossplane/crossplane                          v1.13.2              2e6447e986011       17.1MB
docker.io/kindest/kindnetd                               v20221004-44d545d1   d6e3e26021b60       25.8MB
docker.io/kindest/local-path-helper                      v20220607-9a4d8d2a   d2f902e939cc3       2.86MB
docker.io/kindest/local-path-provisioner                 v0.0.22-kind.0       4c1e997385b8f       17.4MB
registry.k8s.io/coredns/coredns                          v1.9.3               5185b96f0becf       14.8MB
registry.k8s.io/etcd                                     3.5.4-0              a8a176a5d5d69       102MB
registry.k8s.io/kube-apiserver                           v1.25.3              4bc1b1e750e34       76.5MB
registry.k8s.io/kube-controller-manager                  v1.25.3              580dca99efc3b       64.5MB
registry.k8s.io/kube-proxy                               v1.25.3              86063cd68dfc9       63.3MB
registry.k8s.io/kube-scheduler                           v1.25.3              5225724a11400       51.9MB
registry.k8s.io/pause                                    3.7                  221177c6082a8       311kB
xpkg.upbound.io/civo/provider-civo                       v0.1                 0908e92457369       12.1MB
xpkg.upbound.io/crossplane-contrib/provider-helm         v0.15.0              e881fd0d52c20       19.1MB
xpkg.upbound.io/crossplane-contrib/provider-kubernetes   v0.9.0               cda9c4e583532       14.3MB
xpkg.upbound.io/upbound/provider-aws-ec2                 v0.36.0              9d590525071ac       156MB
xpkg.upbound.io/upbound/provider-aws-eks                 v0.36.0              ea6488e478fc0       156MB
xpkg.upbound.io/upbound/provider-aws-iam                 v0.36.0              24b63bf9ddb27       156MB
xpkg.upbound.io/upbound/provider-family-aws              v0.40.0              d5d52e5654fe6       159MB
